location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Precipitation Total,San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20200316T2300,6.0982265,0.0,3.6234317,216.02737
20200317T0000,5.9482265,0.0,3.3379824,208.61046
20200317T0100,6.3482265,0.0,2.9784424,190.30484
20200317T0200,6.2082267,0.0,2.9304,180.0
20200317T0300,6.2482266,0.0,2.9304,180.0
20200317T0400,6.1182265,0.0,3.5039446,171.25385
20200317T0500,4.4682264,0.0,3.1968002,89.99999
20200317T0600,4.4382267,0.0,3.1968002,89.99999
20200317T0700,4.4882264,0.0,3.1968002,89.99999
20200317T0800,5.4982266,0.0,2.664,89.99999
20200317T0900,7.9782267,0.0,3.6234312,107.10272
20200317T1000,9.628226,0.0,3.4734309,122.47119
20200317T1100,10.428226,0.0,3.2189233,155.55605
20200317T1200,10.208226,0.0,3.1968002,180.0
20200317T1300,10.518226,0.0,3.7105224,201.0375
20200317T1400,10.708226,0.0,4.161301,230.19443
20200317T1500,11.578226,0.0,5.124306,242.10274
20200317T1600,10.828226,0.0,5.6449146,250.70996
20200317T1700,10.648226,0.0,5.694981,259.2157
20200317T1800,10.458226,0.0,5.334656,267.1376
20200317T1900,9.938226,0.0,5.068606,266.9872
20200317T2000,9.098227,0.0,3.767465,261.8699
20200317T2100,8.778226,0.0,3.6234312,252.89728
20200317T2200,8.568226,0.0,3.4632,247.38014
20200317T2300,8.408226,0.0,3.1067312,239.03624
20200318T0000,7.9882264,0.0,2.8815567,236.30994
20200318T0100,7.9882264,0.0,2.664,233.1301
20200318T0200,8.108227,0.0,2.5132127,237.99463
20200318T0300,8.178226,0.0,2.5132127,237.99463
20200318T0400,8.198226,0.0,2.2916594,234.46233
20200318T0500,8.548226,0.0,1.9210378,213.69006
20200318T0600,8.438226,0.0,2.1967907,194.03624
20200318T0700,8.448226,0.0,2.3976,180.0
20200318T0800,9.268226,0.0,2.664,180.0
20200318T0900,10.298226,0.0,4.0313635,187.59465
20200318T1000,11.268226,0.0,4.598777,190.00798
20200318T1100,11.018226,0.0,5.0545845,198.43495
20200318T1200,11.028226,0.0,5.485512,209.05461
20200318T1300,11.178226,0.0,5.8668513,219.47247
20200318T1400,11.228226,0.0,6.415762,221.63354
20200318T1500,11.198226,0.0,7.168091,228.01279
20200318T1600,10.898226,0.0,7.572511,230.7106
20200318T1700,10.618226,0.0,7.835059,234.68878
20200318T1800,10.238226,0.0,7.684151,236.30994
20200318T1900,9.738226,0.0,6.9468617,237.52881
20200318T2000,8.988226,0.0,5.328,233.1301
20200318T2100,8.698226,0.0,4.743117,231.84277
20200318T2200,8.398226,0.0,4.5366282,229.76364
20200318T2300,8.158226,0.0,3.7862556,230.7106
20200319T0000,7.798227,0.0,3.6234317,233.97263
20200319T0100,7.608227,0.0,3.2518265,235.00798
20200319T0200,7.3682265,0.0,3.2518265,235.00798
20200319T0300,7.2282267,0.0,2.9784427,243.43495
20200319T0400,7.088227,0.0,2.6237357,246.0375
20200319T0500,9.058227,0.0,2.5272923,341.56506
20200319T0600,8.958226,0.0,2.4123545,353.65985
20200319T0700,8.628226,0.0,2.3976,360.0
20200319T0800,8.608226,0.0,2.4560864,12.528793
20200319T0900,9.808227,0.0,2.028842,23.198593
20200319T1000,10.618226,0.0,2.382754,26.565033
20200319T1100,12.078226,0.0,1.5533656,30.963745
20200319T1200,12.908226,0.0,0.2664,180.0
20200319T1300,12.398226,0.0,1.9394212,195.9454
20200319T1400,12.608226,0.0,3.8142672,204.77515
20200319T1500,13.658226,0.0,5.0264254,212.00539
20200319T1600,13.628226,0.0,5.8668513,219.47247
20200319T1700,12.688226,0.0,6.595754,226.63658
20200319T1800,13.968226,0.0,3.2189233,245.55606
20200319T1900,13.178226,0.0,2.1477854,209.74489
20200319T2000,11.818226,0.0,2.7167575,191.30994
20200319T2100,11.1382265,0.0,1.8837326,188.1301
20200319T2200,10.538226,0.0,1.191377,206.56505
20200319T2300,10.198226,0.0,0.2664,180.0
20200320T0000,9.618226,0.0,1.332,36.86989
20200320T0100,9.128226,0.0,1.9210378,33.690063
20200320T0200,8.598227,0.0,2.2916594,35.53766
20200320T0300,8.058227,0.0,3.0374274,37.87497
20200320T0400,7.4482265,0.0,3.3907182,44.999985
20200320T0500,6.838227,0.0,3.767465,44.999985
20200320T0600,6.5382266,0.0,3.2408962,80.537674
20200320T0700,6.318227,0.0,3.7105224,68.96249
20200320T0800,7.2482266,0.0,3.5840454,48.01277
20200320T0900,10.268226,0.0,4.336678,47.489548
20200320T1000,12.288226,0.0,4.9553266,53.746155
20200320T1100,13.758226,0.0,5.848678,59.93141
20200320T1200,14.968226,0.0,6.5795946,68.62937
20200320T1300,15.8882265,0.0,7.0533133,79.11447
20200320T1400,15.618226,0.0,6.6812778,85.42608
20200320T1500,17.008226,0.0,6.1503215,85.03026
20200320T1600,17.188227,0.0,5.8668513,87.39744
20200320T1700,16.888227,0.0,5.328,89.99999
20200320T1800,16.458227,0.0,4.4097047,64.98311
20200320T1900,15.318226,0.0,3.700947,59.74356
20200320T2000,13.788226,0.0,3.4115846,38.659805
20200320T2100,12.848227,0.0,2.9784427,26.565033
20200320T2200,11.908226,0.0,3.2951863,14.03624
20200320T2300,10.978226,0.0,3.7391024,4.085617
20200321T0000,10.048226,0.0,4.336678,10.619659
20200321T0100,9.298226,0.0,4.075136,11.309921
20200321T0200,8.618226,0.0,4.075136,11.309921
20200321T0300,7.9382267,0.0,3.8788424,15.945404
20200321T0400,7.2882266,0.0,3.6234312,17.102722
20200321T0500,6.7082267,0.0,3.7105224,21.037506
20200321T0600,6.7382264,0.0,3.1067312,30.963745
20200321T0700,6.838227,0.0,3.6234317,36.027374
20200321T0800,8.308227,0.0,2.8318708,48.81407
20200321T0900,11.718226,0.0,2.9784427,63.43495
20200321T1000,13.818226,0.0,3.2408962,80.537674
20200321T1100,15.368226,0.0,3.2408962,80.537674
20200321T1200,15.018226,0.0,4.00487,86.18592
20200321T1300,15.438226,0.0,4.5366287,93.366455
20200321T1400,16.958227,0.0,5.089565,96.009
20200321T1500,17.818228,0.0,6.0102577,102.80426
20200321T1600,17.998226,0.0,6.0865254,113.19859
20200321T1700,17.708227,0.0,5.394189,122.90524
20200321T1800,17.038227,0.0,5.9568853,153.43495
20200321T1900,15.838226,0.0,2.9784424,169.69516
20200321T2000,14.438226,0.0,1.7870656,153.43495
20200321T2100,13.478226,0.0,1.6204481,99.46232
20200321T2200,13.188226,0.0,2.1477854,82.874985
20200321T2300,12.628226,0.0,2.6237357,66.037506
20200322T0000,11.648226,0.0,3.4115846,51.34018
20200322T0100,10.798226,0.0,4.212154,34.69516
20200322T0200,10.078226,0.0,4.295571,29.744873
20200322T0300,9.348227,0.0,4.1698194,26.565033
20200322T0400,8.708226,0.0,4.1698194,26.565033
20200322T0500,8.028226,0.0,4.4097047,25.016876
20200322T0600,7.9382267,0.0,4.336678,42.510437
20200322T0700,7.838227,0.0,4.3692846,37.568573
20200322T0800,8.948226,0.0,4.212154,34.69516
20200322T0900,12.298226,0.0,5.466071,43.025055
20200322T1000,14.438226,0.0,6.2419515,50.194427
20200322T1100,16.158226,0.0,5.9568853,63.43495
20200322T1200,15.508226,0.3,5.4919763,67.166336
20200322T1300,15.928226,0.5,4.4097047,64.98311
20200322T1400,16.158226,0.6,2.9784427,63.43495
20200322T1500,16.248226,0.3,1.5533656,59.036232
20200322T1600,16.198227,0.3,0.5328,360.0
20200322T1700,16.198227,0.0,1.8837326,278.1301
